title;language;description;url;image
Todo App;python;A distraction-free web app to help you focus on creating and completing tasks.;https://github.com/postema/python-todo-web-app;1.png
Portfolio Website;python;A website built entirely in Python to showcase coding projects and apps.;https://pythonhow.com;2.png
PDF Templates;python;A script that generates PDF templates of multiple pages given some predefined guidelines.;https://pythonhow.com;3.png
PDF Invoices;python;A script that reads invoice records from Excel files and automatically generates PDF invoices.;https://pythonhow.com;4.png
Positive News Site;python;A website that gets data from a news API and uses sentiment analysis to publish only positive news.;https://pythonhow.com;5.png
Weather API;python;A REST API built with Python and Flask to serve historical weather data for various cities.;https://pythonhow.com;6.png
Download Cleaner;python;A script that monitors the Downloads folder and deletes old files keeping the folder clean.;https://pythonhow.com;7.png
Tour Scraper;python;A program that checks a music band's website and sends an email when there are new tours.;https://pythonhow.com;8.png
Helper Chatbot;python;A chatbot that knows about a specific topic and answers questions regarding that topic.;https://pythonhow.com;9.png
Open Domain Chatbot;python;A chatbot built that can discuss anything with a human and is built using the Facebook API.;https://pythonhow.com;10.png
Webcam Motion Detector;python;A program that monitors the computer webcam and sends an email when a new object enters the view.;https://pythonhow.com;11.png
Typing Analyzer;python;A program that monitors the computer keyboard and returns the most typed words of the session.;https://pythonhow.com;12.png
Internet Speed Analysis;python;A program that records the internet speed every few seconds and plots the values on the browser.;https://pythonhow.com;13.png
Monitoring Data;python;A program that monitors a particular website and periodically records the data to a remote server.;https://pythonhow.com;14.png
Visualizing Data;python;A program that visualizes the data collected in the previous monitoring program. ;https://pythonhow.com;15.png
Visualizing Weather Forecast;python;A data web app that visualizes the weather forecast for the next five days of any city.;https://pythonhow.com;16.png
Student Management System;python;A desktop PyQt6 GUI app for managing university student data with an SQL database backend.;https://pythonhow.com;17.png
School Management System;python;A desktop PyQt6 GUI app for managing complex university data with an SQL database backend.;https://pythonhow.com;18.png
Restaurant Menu Web App;python;A Django web app to let customers see a restaurant menu and meal availability.;https://pythonhow.com;19.png
Online Store;python;A Django online store app where users can place orders and sellers can manage them.;https://pythonhow.com;20.png